พระสุตตันตปิฎก~~0001
สังยุตตนิกาย  สฬายตนวรรค~~0001
๑๒.  จตุตถฉันทราคสูตร~~0312
๑๓.  ปัญจมฉันทสูตร~~0313
๑๔.  ปัญจมราคสูตร~~0313
๑๕.  ปัญจมฉันทราคสูตร~~0314
๑๖.  ฉัฏฐฉันทสูตร~~0314
๑๗.  ฉัฏฐราคสูตร~~0315
๑๘.  ฉัฏฐฉันทราคสูตร~~0315
๑๙.  ปฐมอตีตสูตร~~0316
๒๐.  ปฐมอนาคตสูตร~~0316
๒๑.  ปฐมปัจจุปันนสูตร~~0317
๒๒.  ทุติยอตีตสูตร~~0317
๒๓.  ทุติยอนาคตสูตร~~0318
๒๔.  ทุติยปัจจุปันนสูตร~~0318
๒๕.  ตติยอตีตสูตร~~0319
๒๖.  ตติยอนาคตสูตร~~0319
๒๗.  ตติยปัจจุปันนสูตร~~0320
๒๘.  จตุตถอตีตสูตร~~0320
๒๙.  จตุตถอนาคตสูตร~~0321
๓๐.  จตุตถปัจจุปันนสูตร~~0321
๓๑.  ปัญจมอตีตสูตร~~0322
๓๒.  ปัญจมอนาคตสูตร~~0322
๓๓.  ปัญจมปัจจุปันนสูตร~~0323
๓๔.  ฉัฏฐอตีตสูตร~~0323
๓๕.  ฉัฏฐอนาคตสูตร~~0324
๓๖.  ฉัฏฐปัจจุปันนสูตร~~0324
๓๗.  ปฐมอนิจจสูตร~~0325
๓๘.  ทุติยอนิจจสูตร~~0325
๓๙.  ตติยอนิจจสูตร~~0326
๔๐.  ปฐมทุกขสูตร~~0326
๔๑.  ทุติยทุกขสูตร~~0327
๔๒.  ตติยทุกขสูตร~~0327
๔๓.  ปฐมอนัตตสูตร~~0328
๔๔.  ทุติยอนัตตสูตร~~0328
๔๕.  ตติยอนัตตสูตร~~0329
๔๖.  จตุตถอนิจจสูตร~~0329
๔๗.  ปัญจมอนิจจสูตร~~0330
๔๘.  ฉัฏฐอนิจจสูตร~~0330
๔๙.  จตุตถทุกขสูตร~~0331
๔๐.  ปัญจมทุกขสูตร~~0331
๕๑.  ฉัฏฐทุกขสูตร~~0332
๕๒.  จตุตถอนัตตสูตร~~0332
๕๓.   ปัญจมอนัตตสูตร~~0333
๕๔.  ฉัฏฐอนัตตสูตร~~0333
๕๕.  ปฐมอัชฌัตตายตนสูตร~~0334
๕๖.  ทุติยอัชฌัตตายตนสูตร~~0334
๕๗.  ตติยอัชฌัตตายตนสูตร~~0334
๕๘.  ปฐมพาหิรายตนสูตร~~0335
๕๙.  ทุติยพาหิรายตนสูตร~~0335
๖๐.  ตติยพาหิรายตนสูตร~~0335
อรรถกถาสัฏฐิเปยยาลวรรคที่  ๒~~0336
สมุททวรรคที่  ๓~~0338
๑. ปฐมสมุททสูตร~~0338
สมุททวรรคที่  ๓~~0339
อรรถกถาปฐมสมุททสูตรที่  ๑~~0339
๒.  ทุติยสมุททสูตร~~0340
อรรถกถาทุติยสมุททสูตรที่  ๒~~0342
๓.    พาลิสิกสูตร~~0342
อรรถกถาพาลิสิกสูตรที่  ๓~~0344
๔.  ขีรรุกขสูตร~~0344
อรรถกถาขีรรุกขสูตร~~0347
๕.  โกฏฐิกสูตร~~0348
อรรถกถาโกฏฐิกสูตรที่  ๕~~0352
๖.  กามภูสูตร~~0353
อรรถกถากามภูสูตรที่  ๖~~0354
๗.  อุทายีสูตร~~0354
อรรถกถาอุทายีสูตรที่  ๗~~0356
๘.  อาทิตตปริยายสูตร~~0357
อรรถกถาอาทิตตปริยายสูตรที่  ๘~~0361
๙.  ปฐมหัตถปาทปัพพสูตร~~0363
อรรถกถาปฐมหัตถปาทปัพพสูตรที่  ๙~~0363
๑๐.  ทุติยหัตถปาทปัพพสูตร~~0364
อรรถกถาทุติยหัตถปาทปัพพสูตรที่  ๑๐~~0365
อาสีวิสวรรคที่  ๔~~0366
๑.  อาสีวิสสูตร~~0366
อาสีวิสวรรคที่  ๔~~0369
๒.  รถสูตร~~0394
อรรถกถารถสูตรที่  ๒~~0397
๓. กุมมสูตร~~0406
อรรถกถากุมมสูตรที่ ๓~~0408
๔.  ปฐมทารุขันธสูตร~~0409
อรรถกถาปฐมทารุขันธสูตรที่  ๔~~0412
๕.  ทุติยทารุขันธสูตร~~0430
อรรถกถาทุติยทารุขันธสูตรที่  ๕~~0431
๖.  อวัสสุตสูตร~~0432
อรรถกถาอวัสสุตปริยายสูตรที่  ๖~~0438
๗. ทุกขธรรมสูตร~~0453
อรรถกถาทุกขธรรมสูตรที่  ๗~~0459
๘.  กิงสุกสูตร~~0462
อรรถกถากิงสุกสูตรที่  ๘~~0467
๙.  วีณาสูตร~~0484
อรรถกถาวีณาสูตรที่  ๙~~0487
๑๐.  ฉัปปาณสูตร~~0497
อรรถกถาฉัปปาณสูตรที่  ๑๐~~0500
๑๑.  ยวกลาปิสูตร~~0507
อรรถกถายวกลาปิสูตรที่  ๑๑~~0507
๑๒.  เทวาสุรสังคามสูตร~~0509
อรรถกถาเทวาสุรสังคามสูตรที่  ๑๒<SUP>๑</SUP>~~0513
